"I(lj1)_x","I(lj1)_y","I(lj2)_x","I(lj2)_y","I(lj21)_x","I(lj21)_y","I(lj22)_x","I(lj22)_y","I(lj23)_x","I(lj23)_y","I(lj24)_x","I(lj24)_y","I(lj25)_x","I(lj25)_y","I(lj3)_x","I(lj3)_y","I(lj4)_x","I(lj4)_y","I(lj5)_x","I(lj5)_y","I(lc)_x","I(lc)_y"
54.61087909,-0.006901496923,54.61087909,-0.009286134761,54.61087909,0.010259171,54.61087909,0.01132199156,54.61087909,0.01144596902,54.61087909,0.01066123291,54.61087909,0.008770196822,54.61087909,-0.01021427842,54.61087909,-0.009916863823,54.61087909,-0.008320362882,54.61087909,0.008,
55.01218155,-0.006889359984,55.01218155,-0.009279507798,55.01218155,0.01027090715,55.01218155,0.01132829295,55.01218155,0.01144935778,55.01218155,0.01066315499,55.01218155,0.008771392909,55.01218155,-0.0102106312,55.01218155,-0.009914747671,55.01218155,-0.008319039687,55.01218155,0.008,
55.28821679,-0.006878617343,55.28821679,-0.009273474146,55.28821679,0.01028132135,55.28821679,0.01133408525,55.28821679,0.01145247975,55.28821679,0.01066483615,55.28821679,0.008772345155,55.28821679,-0.01020733207,55.28821679,-0.009912931287,55.28821679,-0.008317984999,55.28821679,0.008,
55.56425203,-0.006865979569,55.56425203,-0.009266158884,55.56425203,0.01029358597,55.56425203,0.01134114105,55.56425203,0.0114563732,55.56425203,0.0106669224,55.56425203,0.008773472579,55.56425203,-0.01020326003,55.56425203,-0.009910711879,55.56425203,-0.008316752973,55.56425203,0.008,
55.98664827,-0.006843586127,55.98664827,-0.009252661689,55.98664827,0.01031531192,55.98664827,0.01135417885,55.98664827,0.0114639074,55.98664827,0.01067110323,55.98664827,0.008775733724,55.98664827,-0.01019542238,55.98664827,-0.009906319397,55.98664827,-0.00831433748,55.98664827,0.008,
56.33263742,-0.006823202153,56.33263742,-0.009239938204,56.33263742,0.01033506375,56.33263742,0.0113664579,56.33263742,0.01147134431,56.33263742,0.01067544385,56.33263742,0.008778172643,56.33263742,-0.01018769437,56.33263742,-0.009901788954,56.33263742,-0.008311777254,56.33263742,0.008,
56.8482416,-0.006791059498,56.8482416,-0.009219452404,56.8482416,0.01036616682,56.8482416,0.01138619891,56.8482416,0.01148376421,56.8482416,0.01068309179,56.8482416,0.008782738042,56.8482416,-0.01017478795,56.8482416,-0.009893838745,56.8482416,-0.008307036808,56.8482416,0.008,
57.76898065,-0.006732138562,57.76898065,-0.009182188933,57.76898065,0.01042318833,57.76898065,0.01142214685,57.76898065,0.01150667667,57.76898065,0.01069776295,57.76898065,0.00879207575,57.76898065,-0.0101510585,57.76898065,-0.009878688759,57.76898065,-0.008297423036,57.76898065,0.008,
58.50534901,-0.006683323101,58.50534901,-0.009152355679,58.50534901,0.01047046078,58.50534901,0.01145095924,58.50534901,0.01152450025,58.50534901,0.01070900967,58.50534901,0.008799312836,58.50534901,-0.0101326278,58.50534901,-0.009867093211,58.50534901,-0.008289976005,58.50534901,0.008,
59.07529508,-0.006642898912,59.07529508,-0.009128312984,59.07529508,0.01050958909,59.07529508,0.01147414406,59.07529508,0.01153830851,59.07529508,0.01071735142,59.07529508,0.00880448182,59.07529508,-0.01011829801,59.07529508,-0.009858440364,59.07529508,-0.008284619448,59.07529508,0.008,
59.98017462,-0.006567278024,59.98017462,-0.009083994803,59.98017462,0.01058272323,59.98017462,0.01151680909,59.98017462,0.0115630842,59.98017462,0.01073172151,59.98017462,0.008812879213,59.98017462,-0.01009250069,59.98017462,-0.009843452129,59.98017462,-0.008275857113,59.98017462,0.008,
60.66258808,-0.006493856564,60.66258808,-0.009041118091,60.66258808,0.01065370116,60.66258808,0.01155809787,60.66258808,0.01158695953,60.66258808,0.0107454195,60.66258808,0.008820671529,60.66258808,-0.01006767249,60.66258808,-0.009829197504,60.66258808,-0.008267744577,60.66258808,0.008,
61.19765397,-0.006421641731,61.19765397,-0.008998928849,61.19765397,0.010723477,61.19765397,0.01159873027,61.19765397,0.01161053303,61.19765397,0.01075901535,61.19765397,0.008828442925,61.19765397,-0.01004318885,61.19765397,-0.009815086096,61.19765397,-0.008259682577,61.19765397,0.008,
61.68519847,-0.006340767325,61.68519847,-0.008951667704,61.68519847,0.01080154029,61.68519847,0.01164420343,61.68519847,0.0116369734,61.68519847,0.01077434357,61.68519847,0.00883728531,61.68519847,-0.01001570798,61.68519847,-0.009799172018,61.68519847,-0.008250513232,61.68519847,0.008,
62.18246207,-0.006238702542,62.18246207,-0.008892076136,62.18246207,0.01089991082,62.18246207,0.01170143643,62.18246207,0.01167025596,62.18246207,0.01079368592,62.18246207,0.008848516464,62.18246207,-0.009981042961,62.18246207,-0.00977904468,62.18246207,-0.008238843631,62.18246207,0.008,
62.74635457,-0.006090083316,62.74635457,-0.008805535524,62.74635457,0.01104287028,62.74635457,0.01178435923,62.74635457,0.01171837357,62.74635457,0.01082163155,62.74635457,0.008864779392,62.74635457,-0.009930794456,62.74635457,-0.009749880177,62.74635457,-0.008221895671,62.74635457,0.008,
63.47181972,-0.005821349269,63.47181972,-0.008649743247,63.47181972,0.01130057801,63.47181972,0.01193316143,63.47181972,0.01180433584,63.47181972,0.01087135669,63.47181972,0.008893633728,63.47181972,-0.009840743578,63.47181972,-0.00969782709,63.47181972,-0.008191730683,63.47181972,0.008,
64.03751455,-0.005523236934,64.03751455,-0.008477513232,64.03751455,0.01158537819,64.03751455,0.0120970418,64.03751455,0.01189864149,64.03751455,0.01092567204,64.03751455,0.008925004428,64.03751455,-0.009741606467,64.03751455,-0.009640788459,64.03751455,-0.008158835994,64.03751455,0.008,
64.47860275,-0.005217172876,64.47860275,-0.008301036189,64.47860275,0.0118766871,64.47860275,0.0122643418,64.47860275,0.01199470407,64.47860275,0.01098085297,64.47860275,0.008956771611,64.47860275,-0.009640276671,64.47860275,-0.009582662159,64.47860275,-0.008125433173,64.47860275,0.008,
64.86268525,-0.004882534173,64.86268525,-0.008108436546,64.86268525,0.01219393614,64.86268525,0.01244621078,64.86268525,0.01209896408,64.86268525,0.01104063912,64.86268525,0.008991117665,64.86268525,-0.009529901921,64.86268525,-0.009519479895,64.86268525,-0.008089215075,64.86268525,0.008,
