"frequency";"r dbJPM";"i dbJPM"
4.56255e+09;-4.05942e-07;0
4.5627e+09;-4.06333e-07;0
4.56285e+09;-4.06726e-07;0
4.563e+09;-4.07119e-07;0
4.56315e+09;-4.07513e-07;0
4.5633e+09;-4.07907e-07;0
4.56345e+09;-4.08303e-07;0
4.5636e+09;-4.087e-07;0
4.56375e+09;-4.09097e-07;0
4.5639e+09;-4.09496e-07;0
4.56405e+09;-4.09895e-07;0
4.5642e+09;-4.10295e-07;0
4.56435e+09;-4.10697e-07;0
4.5645e+09;-4.11099e-07;0
4.56465e+09;-4.11502e-07;0
4.5648e+09;-4.11906e-07;0
4.56495e+09;-4.12311e-07;0
4.5651e+09;-4.12717e-07;0
4.56525e+09;-4.13124e-07;0
4.5654e+09;-4.13532e-07;0
4.56555e+09;-4.1394e-07;0
4.5657e+09;-4.1435e-07;0
4.56585e+09;-4.14761e-07;0
4.566e+09;-4.15172e-07;0
4.56615e+09;-4.15585e-07;0
4.5663e+09;-4.15999e-07;0
4.56645e+09;-4.16413e-07;0
4.5666e+09;-4.16829e-07;0
4.56675e+09;-4.17245e-07;0
4.5669e+09;-4.17663e-07;0
4.56705e+09;-4.18081e-07;0
4.5672e+09;-4.18501e-07;0
4.56735e+09;-4.18922e-07;0
4.5675e+09;-4.19343e-07;0
4.56765e+09;-4.19766e-07;0
4.5678e+09;-4.20189e-07;0
4.56795e+09;-4.20614e-07;0
4.5681e+09;-4.21039e-07;0
4.56825e+09;-4.21466e-07;0
4.5684e+09;-4.21893e-07;0
4.56855e+09;-4.22322e-07;0
4.5687e+09;-4.22752e-07;0
4.56885e+09;-4.23183e-07;0
4.569e+09;-4.23614e-07;0
4.56915e+09;-4.24047e-07;0
4.5693e+09;-4.24481e-07;0
4.56945e+09;-4.24916e-07;0
4.5696e+09;-4.25352e-07;0
4.56975e+09;-4.25789e-07;0
4.5699e+09;-4.26227e-07;0
4.57005e+09;-4.26666e-07;0
4.5702e+09;-4.27107e-07;0
4.57035e+09;-4.27548e-07;0
4.5705e+09;-4.2799e-07;0
4.57065e+09;-4.28434e-07;0
4.5708e+09;-4.28878e-07;0
4.57095e+09;-4.29324e-07;0
4.5711e+09;-4.29771e-07;0
4.57125e+09;-4.30219e-07;0
4.5714e+09;-4.30668e-07;0
4.57155e+09;-4.31118e-07;0
4.5717e+09;-4.31569e-07;0
4.57185e+09;-4.32022e-07;0
4.572e+09;-4.32475e-07;0
4.57215e+09;-4.3293e-07;0
4.5723e+09;-4.33386e-07;0
4.57245e+09;-4.33842e-07;0
4.5726e+09;-4.343e-07;0
4.57275e+09;-4.3476e-07;0
4.5729e+09;-4.3522e-07;0
4.57305e+09;-4.35682e-07;0
4.5732e+09;-4.36144e-07;0
4.57335e+09;-4.36608e-07;0
4.5735e+09;-4.37073e-07;0
4.57365e+09;-4.37539e-07;0
4.5738e+09;-4.38007e-07;0
4.57395e+09;-4.38475e-07;0
4.5741e+09;-4.38945e-07;0
4.57425e+09;-4.39416e-07;0
4.5744e+09;-4.39888e-07;0
4.57455e+09;-4.40362e-07;0
4.5747e+09;-4.40836e-07;0
4.57485e+09;-4.41312e-07;0
4.575e+09;-4.41789e-07;0
4.57515e+09;-4.42267e-07;0
4.5753e+09;-4.42747e-07;0
4.57545e+09;-4.43227e-07;0
4.5756e+09;-4.43709e-07;0
4.57575e+09;-4.44193e-07;0
4.5759e+09;-4.44677e-07;0
4.57605e+09;-4.45163e-07;0
4.5762e+09;-4.4565e-07;0
4.57635e+09;-4.46138e-07;0
4.5765e+09;-4.46627e-07;0
4.57665e+09;-4.47118e-07;0
4.5768e+09;-4.4761e-07;0
4.57695e+09;-4.48104e-07;0
4.5771e+09;-4.48598e-07;0
4.57725e+09;-4.49094e-07;0
4.5774e+09;-4.49591e-07;0
4.57755e+09;-4.5009e-07;0
4.5777e+09;-4.5059e-07;0
4.57785e+09;-4.51091e-07;0
4.578e+09;-4.51594e-07;0
4.57815e+09;-4.52098e-07;0
4.5783e+09;-4.52603e-07;0
4.57845e+09;-4.53109e-07;0
4.5786e+09;-4.53617e-07;0
4.57875e+09;-4.54126e-07;0
4.5789e+09;-4.54637e-07;0
4.57905e+09;-4.55149e-07;0
4.5792e+09;-4.55662e-07;0
4.57935e+09;-4.56177e-07;0
4.5795e+09;-4.56693e-07;0
4.57965e+09;-4.5721e-07;0
4.5798e+09;-4.57729e-07;0
4.57995e+09;-4.5825e-07;0
4.5801e+09;-4.58771e-07;0
4.58025e+09;-4.59294e-07;0
4.5804e+09;-4.59819e-07;0
4.58055e+09;-4.60345e-07;0
4.5807e+09;-4.60872e-07;0
4.58085e+09;-4.61401e-07;0
4.581e+09;-4.61931e-07;0
4.58115e+09;-4.62463e-07;0
4.5813e+09;-4.62996e-07;0
4.58145e+09;-4.63531e-07;0
4.5816e+09;-4.64067e-07;0
4.58175e+09;-4.64604e-07;0
4.5819e+09;-4.65143e-07;0
4.58205e+09;-4.65684e-07;0
4.5822e+09;-4.66226e-07;0
4.58235e+09;-4.66769e-07;0
